資料庫工程師,創維企業有限公司,台北市內湖區基湖路35巷51號6樓之1,25.079302,121.566887,1.資料庫管理 協助規劃 開發與診斷 2.確保資料庫以最佳效益運行,不拘 不拘 ,未填寫
資訊部 資料庫管理師(凱基證券),中華開發金融控股股份有限公司(凱基證券)(凱基銀行),台北市中正區,25.0421407,121.5198716,1. 資料庫伺服器環境架構評估與規劃2. 安裝及升級資料庫軟體3. 資料庫的建立與設定4. 建立備份及復原計畫5. 建立異地備援及災後復原機制6. 建立資料庫安全性管理規範及監控機制7. 監控及調校資料庫的效能、儲存狀況及堪用性8. 資料庫故障排除9. 資料庫安全稽核系統建立及管理10.資料庫日常維運及作業需求處理.,不拘 不拘 ,1. 具備Oracle Database 11g或12c OCP或MS MCSE: Data Platform認證2. 具備SQL程式撰寫與效能調校經驗3. 以Script管理Windows、Linux作業之能力4. 良好的人際溝通協調能力5. 可接受24小時故障排除之工作需求6. MS SQL Server及Oracle資料庫管理相關工作經驗3年.
資料庫管理師,雄獅資訊科技股份有限公司,台北市內湖區石潭路151號,25.063350474439684,121.58969896137694,1.訂定Microsoft SQL Server 管理政策、規範、作業辦法 2.MongoDB  Database 研發及建置導入 3.資料庫備份計劃制定及管理     4.資料庫相關技術及使用注意事項宣導與教育訓練 5.效能監控及索引調教                 6.SQL Batch Job 監控及管理                 7.SQL Error Log分析                      8.監控資料庫空間增長情況，檢查資料庫空間配置是否足夠使用。,不拘 不拘 ,加分項目 1.熟 Microsoft TSQL Stored procedure、Trigger 2.具.NET 開發經驗 3.具MCSE5證照
DBA資料庫管理師,全聯福利中心_全聯實業股份有限公司,台北市中山區敬業四路33號,25.0810106,121.5579204,1.具備MS-SQL(主)與ORACLE(次)資料庫的日常維護與管理經驗； 2.有能力執行大型企業的資料庫的管理或是版本昇級、備援、容錯設計使用經驗為佳； 3.具有優化調校既有的DB 屬性、環境參數、交易語法效能經驗;  4.根據系統開發需求規劃資料庫伺服器硬體資源設定；  5.積極學習，快速熟悉所負責的業務邏輯，明確各模組之間的資料庫調用關係；  6.負責資料庫的日常操作、安裝、配置、監控、負載均衡、即時備份、災難恢復和管理；,不拘 不拘 ,未填寫
資料庫管理師,群益證券投資信託股份有限公司,台北市大安區敦化南路二段69號15樓(106),25.0306449,121.549205,1. SQL Server架設、管理、維護。 2. T-SQL及Stored Procedure撰寫、效能優化。 3. 資料庫管理日常維護、監控、故障排除。 4. 資料庫備份管理、災難復原。 5. Tableau Server管理、備份、升級、BI報表分析製作。,MS SQL 不拘 ,1. 5年以上工作經驗、使用及管理MS SQL Sever HA經驗2年以上。 2. 熟MSSQL/T-SQL/Store Procedure。(必要) 3. 略懂MySQL、Tableau。
資料庫(DB)工程師-台北總處,誠揚商務服務股份有限公司,台北市中山區長春路176號4樓,25.054519,121.5341196,工作內容 :  1.熟悉PYTHON，SQL語法、服務建置。  2.建構 Galera cluster服務及系統參數效能管理。  3.熟悉資料庫/叢集運作機制，熟悉InnoDB儲存引擎特質。  4.分析資料庫效能瓶頸、Slow query、Lock info。  5.撰寫Stored Procedure與各項Function與優化。  6.資料庫效能監控與管理、使用者權限設定與管理。  7.熟悉虛擬化平台、Linux 系統、MSSQL者更佳。  您會獲得 : 經營平台的機會、享受網站、APP進化的成就感，進軍國際舞台。  工作環境 : 全台數一數二最高檔的辦公環境，與優秀的團隊互動腦力激盪。  額外獎勵 : KPI廣大通路銷售分紅，由通路為您賺錢。   悄悄話 : 我們希望你擁有的特質 :  　良好的溝通力－清楚表達自己的想法  　聰明的解決力－妥善並獨立解決大小問題  　樂於吸收新知－對網路技術和程式設計充滿熱忱  　善於與人相處－你可以在這裡得到許多的好友  　熱愛學習與分享，享受新創團隊充滿挑戰性的生活  　具有廣度興趣，熱愛接收新鮮事物，能跟各領域人才交流學習  　個性活潑、積極與健談，抗壓性高，且有工作熱忱。   每個程式工程師年輕時，都該有個人生的代表作、成功作品，體現超越實踐功能的技術能力外，超越自己，做出眾人熱愛的產品，加入MyGo，就是加入國際舞台，加入MyGo就是加入對的商業模式，對的商業模式無比重要，加入不對的商業模式，浪費您寶貴生命。   MyGo MyGo.com / MyGoNews.com / MyGo Plus APP創造了房地產個人化的時代，好比房產商業版本的臉書、或房地產版的UBER，讓仲介個人透過MyGo.com、MyGo Plus APP的線上服務能夠輕鬆創業。如果您想要成功、享受創造破壞性創新轟動市場的快感，立即加入我們團隊，讓我們一同將平台推廣至東協、至中國。讓世界看到台灣的榮耀。 創新的DNA就是本公司的特色，一次次創造出創新的作品，目標國際設計獎項，就是本公司設計團隊的目標。,ASP.NET、Python、MySQL 不拘 ,加分技能 :  1.具統計分析或資料探勘或機器學習應用相關工作或研究經驗為佳 2.系統分析、雲端服務管理、Machine learning(list attached)
資料庫高級工程師(研發訓儲替代役),伊雲谷數位科技股份有限公司,台北市中山區南京東路3段9號5F,25.0523319,121.537389,1.AWS RDS 資料庫管理與備份 2.依據專案需求(升級)，規劃資料庫架構最佳化設計。  3.規劃、執行資料庫資料備份/還原策略。  4.管理各項資料庫資源使用，包含使用Sessions、權限管理、使用空間、系統資源（CPU、Memory、IO）等。  5.監控資料庫效能，並適時針對相關參數、架構、SQL進行調校。  6.提供專業諮詢服務並處理使用者使用資料庫的相關問題。  7.熟悉其中一種資料庫: Oracle  MS SQL  MS SQL 8.撰寫系統背景批次作業(UNIX/LINUX Shell script)、PLSQL  以配合系統管理或Daily Check Alert通知。  9.依客戶要求，定期產出資料庫效能分析報告、效能調整建議報告。,不拘 不拘 ,1. Oracle MS SQL MySQL管理經驗 2. 具AWS RDS使用. 管理. 開發經驗尤佳 3. 具OCP或MCSA SQL 2008或MCSA SQL 2012認證佳   英文能力佳者優先錄用，公司提供Amazon Web Service相關訓練與認證考試。歡迎對資料庫有興趣的應屆畢業生或有熱情的年輕人加入！
SQL 資料庫工程師,碩誠國際股份有限公司,台北市松山區敦化北路170號14樓D室,25.0564859,121.5486072,- 熟悉資料庫之SQL語法指令(PL/SQL或T-SQL)執行資料轉換及驗證。  - 熟悉資料庫安裝、設定及操作實務經驗1年以上。(Oracle、MS SQL Server、MySQL至少一種)  - 具備Stored Procedure實務經驗1年以上尤佳。  - 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。  - 依不同經驗及能力來負責系統之分析(SA)、設計(SD)以及程式撰寫(PG)。  - 配合公司專案需求至客戶端駐點服務。,不拘 不拘 ,未填寫
"社群資料工程師 (資料平台工程師, Java)",意藍資訊股份有限公司,台北市大安區信義路四段184號6樓,25.0330243,121.5513363,本公司為社群資料分析的專業領導廠商，提供全國規模最大的網路社群監測與分析平台《OpView社群口碑資料庫》，涵蓋台灣地區九成以上的社群媒體，在數十億筆的雲端資料庫內，即時精確地分析網路上的口碑聲量，是數位行銷時代重要的工具。因此，邀請想投入資料數據產業的各方好手加入，包括資料科學平台設計、深度語意分析、資料科學呈現及前台界面等工程人員。  本職務需熟悉程式開發，主要工作內容為： 1 網路社群資料擷取及處理 2 巨量資料儲存及分析 3 分散式與叢集資料庫規劃、設計及維運  歡迎Java愛好者加入! (也有研發替代役職缺),Linux、Windows Server 2008、Windows Server 2012、Java、JDBC、MySQL、RDBMS、HTML、HTTP 作業系統基本操作、系統維護操作、軟體工程系統開發、軟體程式設計、結構化程式設計、網路程式設計、模組化系統設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用 ,熟悉 Regular Expression or XPath 有第三方API操作經驗 e.x. Facebook Graph API  Twitter API  etc. 歡迎附上 GitHub 展示作品
資料庫工程師 DBA,強勝有限公司,台北市內湖區瑞湖街36號5樓,25.0744686,121.5757001,#必要條件要求  1. 有 MYSQL   MSSQL  LINUX 基本操作經驗。 2. 懂 T-SQL 語法、Stored Procedure、Trigger。  3. 有資料庫 Table設計與Index Create 經驗。  #加分條件  1. 有效能調校經驗者佳。  2. 對Audit、監控有相關經驗。   3. 有程式開發經驗者佳。  4. 基本的報表設計與撰寫能力。 5. 有實際的 HA 架構管理經驗優先考慮。 6. 需有工作熱誠、負責細心、主動解決問題能力、能團隊合作、互相討論與技術分享。  #主要工作內容  1. 協助線上網站的運作維護 。 2. 公司遊戲產品相關資料庫開發設置。 3. 後台與資料庫間介接規畫及開發 。 4. 運營相關資料庫監控及處理。 5. 配合公司專案執行 。 6. 新技術之研究與發展 。 7. 主管交辦之業務。,不拘 不拘 ,#公司提供資源  • 程式技術資訊的教育訓練與其他相關研討會的參與 • 相關程式書籍供參考使用
系統及資料庫工程師,德義資訊股份有限公司,台北市內湖區,25.083416,121.590373,1.建置、管理與維護公司系統。 2.開發MIS系統的功能，以符合企業需求，需撰寫Oracle PL/ SQL。 3.產出公司報表。,Oracle、PL/SQL 作業系統基本操作、資訊設備環境設定、資料庫程式設計 ,未填寫
資料庫管理師(Q17),關貿網路股份有限公司,台北市南港區三重路19之13號6樓(115)  (南港軟體工業園區),25.058303,121.613953,1.資料庫、AP Server等系統維運管理2.規劃、資源使用分析與效能調校等   3.產品規劃與新技能導入4.維運工具標準化與自動化規劃5.自動化監控的規劃與實做,不拘 不拘 ,須具備條件1.    ORACLE DB 或IBM DB2  3年以上實務維運管理經驗2.    具備Oracle OCP or IBM DB2同等證照3.    熟悉AIX or  Linux 指令操作及shell script撰寫選擇性條件若再具SQL SERVER相關證照及維運管理經驗者佳
聯強 資料庫工程師(亞太第一大資通訊通路集團),聯強國際股份有限公司,台北市中山區民生東路三段75號,25.058039,121.543829,(2018菁英計劃)於集團總部負責全球各地營運系統之研發與管理。每年投資5億打造國際級軟體之研發，有完善的專業培訓課程，歡迎具國際觀的有志人才加入。  1.資料庫日常維護(監控/備份/異常處理)。 2.資料庫壓力測試，SQL語法調校。 3.資料庫架構規劃和安全管理 4.配合專案規劃達到最佳化，減少資料重複性。 5.規劃、建置及改善公司資料庫，以提供最佳的資訊系統服務。,不拘 不拘 ,1.資料庫兩年以上管理經驗 具Oracle經驗尤佳 2.具SQL撰寫與調校經驗
資料分析研發工程師 (Python Engineer),大數據股份有限公司,台北市中山區民生東路二段,25.0579434,121.5325398,本公司為專業社群資料分析廠商， 提供網路社群分析大數據平台《KEYPO大數據關鍵引擎》，網羅社群與媒體平台，透過人工智慧與機器學習在海量資料中洞察網路口碑，讓行銷與決策如虎添翼綜觀全局。 推出粉專分析大數據平台《FANSDO粉絲行為追蹤器》，洞悉粉絲行為，透過大數據剖析粉專經營績效與最佳互動時機。  本職務專注於： 開發分析系統，RESTful API，數據分析引擎與報告儀表。 對資料科學、大數據分析、人工智慧有興趣者。  必要技能 - 熟悉 Python 語法 - 有 Django Framework 開發經驗 - 研發方向以檢索系統、文字探勘、語意分析、資訊視覺化為主  - 熟 Mariadb或mysql - 有Falcon、Flask使用與開發經驗  加分技能： - 懂得 Web Server 運作，可以完整了解 Nginx - 熟悉推薦演算法、NLP(自然語言處理)、語意分析方法；熟悉Deep Learning演算法，具備Big Data 分析經驗尤佳。 - 有在 Linux (Ubuntu)環境下開發的經驗，熟悉docker。 - 熟悉至少一套容器調度工具，Docker Swarm或Kubernetes 尤佳 - 有 RESTful API 的開發經驗 - 熟悉Redis、Elasticsearch、MongoDB、ArangoDB、PostgreSQL尤佳 - 熟悉 Git flow 開發流程 - 了解前端技術佳 - 良好的溝通及問題解決能力,Linux、OOP、AJAX、Python、Data Modeling、ETL、MySQL、PostgreSQL、RDBMS、Version Control、Data Architect 系統架構規劃、系統維護操作、軟體工程系統開發、軟體品質與保證、功能測試(function test)、問題追蹤處理(Bug tracking)、軟體整合測試、軟體程式設計、網路程式設計、模組化系統設計、資料庫程式設計、系統架構規劃與維護 ,1.有能力自主學習、願意主動改善產品與平台、熱愛技術研究 2.有耐心，具備團隊溝通能力 3.對敏捷式開發、巨量資料分析有經驗或興趣
ORACLE DBA(ORACLE資料庫管理),中菲電腦股份有限公司,台北市內湖區行愛路151號,25.063894,121.580118,本公司為上櫃績優系統整合公司，IBM在台灣最大經銷商。 本工作主要使用Oracle/DB2/Websphere於Unix或Windows大型伺服器，主要內容為安裝規劃、系統維護、客戶服務。 歡迎具團隊精神、能接受挑戰有志於IT產業穩定發展的同志加入。 工作內容: 資料庫系統維護與建置 Shell Script與SOP撰寫 資料庫升級/平台轉換 資料庫儲存環境管理建置 資料庫備份系統建置 客戶問題處理 專案管理,不拘 不拘 ,普通小型車
資料庫開發工程師,億力資訊股份有限公司,台北市大同區,25.0627243,121.5113064,1.具有date Mart經驗 2. 3+ yrs on ETL/Data Warehouse 3. 熟悉資料庫 4. .具有big data經驗尤佳 5. 配合專案需求駐點開發,不拘 不拘 ,未填寫
【誠品】商品資料管理專員,誠品股份有限公司,台北市信義區松德路196號B1(110),25.034946,121.574281,1.中、英、日文圖書資料建立2.國外文具禮品，食品商品資料建立3.廠商與合約資料管理4.使用SAP系統維護資料與報表執行5.部門交辦事項支援,Excel、Outlook、PowerPoint、Word、中文打字50~75、英文打字50~75 不拘 ,1.喜愛閱讀，樂於學習2.積極主動，細心負責3.具邏輯與組織能力4.團隊合作及擅溝通協調5.應屆畢業可，有一年以上工作經驗佳
資料庫程式設計師,德義資訊股份有限公司,台北市中正區,25.029226,121.520445,1. 熟悉Store Procedure (Oracle)2. 參與資料轉換,不拘 不拘 ,未填寫
MS SQL（SQL Server)資料庫管理師,艾博斯科技股份有限公司,台北市松山區,25.0541591,121.5638621,本公司有一專責負責提供多種資料庫顧問諮詢及服務單位，其以專精於資料庫相關技術範圍為主，並有自己獨家代理資料庫相關應用軟體，進而期望及尋找喜歡挑戰學習新技能且立志成為IT服務業專業顧問的你。 如果您對MS SQL SERVER資料庫有高度的熱情與自信，想進一步提昇資料庫技能者。本公司現正高薪召募DB專業顧問，我們提供自由的環境，有志轉型成為DB顧問者，歡迎您來應徵，以下是我們的工作內容： 《職務說明》 1. 提供資料庫技術支援及諮詢 2. 資料庫相關架構規劃與建置 3. 資料庫系統故障排除 問題分析及解決 4. 資料庫系統管理監控 效能調校 5. 提供專業技術報告及建議書 6. 協助業務進行產品銷售 7. 協助客戶進行產品POC  《職務需求》 1. 熟悉SQL SERVER 並具實際DBA經驗者 2. 熟悉T-SQL語法與procdure trigger function等編寫 3. 對高可用性規劃與建置有經驗者佳 4. 對資料庫故障判斷及問題處理有經驗者佳,不拘 不拘 MCSE、MCSA ,MCSE、MCSA
資料分析師(金融)-B100,精誠資訊股份有限公司,台北市內湖區瑞光路318號,25.0765969,121.5735621,於DWH Data Analysis工作經驗5年以上：1. 熟悉銀行核心系統(Core Banking)或其它相關業務2. 具備銀行業DWH資料分析與建立Modeling經驗3. 具備跨平台資料分析4. 具Stored Procedure撰寫能力5. 熟悉ETL工具(如Informatica),不拘 不拘 ,未填寫
資深資料庫管理師 (SQL Server),真好玩娛樂科技股份有限公司,台北市中山區南京東路3段225號7樓,25.0521001,121.5436647,1.現有SQL Server管理與維護。 2.熟悉T-SQL 語法、Stored Procedure、Trigger、Function、View等編寫。 3.熟悉資料庫系統管理監控 效能調校。 4.熟悉規劃、執行資料庫資料備援及回覆計畫，故障判斷及問題處理。 5.對高可用性 (HA) 規劃與建置有經驗者。 6.能依商務需求設計計算報表與相關功能。 7.熟悉MS SQL 2012或以上，並具實際DBA經驗者。,Database Management、MS SQL、MySQL 不拘 ,具 MCDBA 者佳。 熟 .NET、ASP.NET、C#者佳。
DBA 資料庫工程師 (熟MS SQL),聖森股份有限公司,台北市內湖區,25.0689422,121.5909027,1.依據使用者需求，參與資料庫架構的設計，並針對整體系統架構提供建議，以創建最佳資料庫架構。 2.規劃、執行資料庫資料備援及回覆計畫。 3.管理各項資料庫資源使用，包含使用數量、權限管理、使用空間、系統資源（CPU、Memory、IO）等。 4.監控資料庫效能，並適時針對相關參數及 MS SQL進行調校。 5.提供諮詢並處理使用者使用資料庫的相關問題。,不拘 不拘 ,熟 MS SQL 2005或以上 .NET、ASP.NET
資料庫與檔案管理人員,西基電腦動畫股份有限公司,台北市南港區忠孝東路六段21號9樓,25.0468916,121.5826368,專案資料庫開發維護與整合,MySQL、JavaScript 不拘 ,熟悉Linux、Shell、具資訊管理系統經驗者將優先面試，另附作品尤佳。
工程師(資料庫維護),PChome Store_商店街市集國際資訊股份有限公司,台北市大安區敦化南路二段105號14樓,25.0284385,121.5491655,ORACLE資料庫建置、維護、故障排除,Oracle 不拘 ,1.熟LINUX系統、X86、RALD硬體、VMWARE ESXI 2.SQL語法效能調整 3.英文文件閱讀
Big Data資料平台架構師,歐立威科技股份有限公司,台北市大同區鄭州路87號10樓,25.050017,121.512371,1.依據使用者需求，參與巨量資料庫／資料庫架構的設計，並針對整體系統架構提供建議，以創建最佳資料庫架構。 2.規劃、執行資料庫資料備援及回覆計畫。 3.管理各項資料庫資源使用，包含使用數量、權限管理、使用空間、系統資源（CPU、Memory、IO）等。 4.監控資料庫效能，並適時針對相關參數及SQL進行調校。 5.提供諮詢並處理使用者使用資料庫的相關問題。,Linux 不拘 ,1.熟PL／SQL尤佳。 2.熟Linux尤佳。 3.熟Java尤佳。 4.熟Oracle DB尤佳。 5.熟Hadoop尤佳。
10_資料庫管理師(DBA),台灣之星電信股份有限公司,台北市內湖區,25.0689422,121.5909027,1.Oracle & SQL Server資料庫設計與管理 2.資料庫日常維運與效能調校 3.資料庫備份與回復機制建立與驗證4.SOP文件撰寫,Oracle 不拘 ,未填寫
後端資料工程師 -D,CHOCO TV_巧克科技新媒體股份有限公司,台北市松山區民權東路三段142號17樓,25.061739,121.546874,CHOCOLABS邀請，夥伴來作伴  ☞ 協助建立後端資料處理與分析系統 ☞ 資料模型設計與優化 ☞ 協助開發爬蟲程式 ☞ 必備技能-程式語言：Python / Javascript  (擇一) ☞ 必備技能-使用工具：Docker ；  曾使用過 AWS ☞ 必備技能-資料庫：MySQL,不拘 不拘 ,『~~~加分條件~~~」 ☞   程式語言： Go ☞   使用工具： Kubernetes(kops  istio  helm) / Google Cloud Platform / Drone / Jenkines ☞   程式框架： Scrapy / Splash / Pandas /  gRPC / rxgo / rxpy / goa ☞   資 料 庫  ： Elasticsearch  ☞   背景知識： Machine Learning / Statistical Analysis
資深資料程式設計師,科萊博瑞科技有限公司,台北市內湖區民權東路六段15巷41號2樓,25.0688323,121.5779504,(1)熟悉T-SQL及Stored Procedure編寫。 (2)C#.NET程式撰寫經驗。 (3)MS SQL 使用經驗及具備資料庫知識。,不拘 不拘 ,(1)需善於溝通與協調，並能獨立完成文件撰寫工作。 (2)具有系統開發經驗。 (3)良好溝通能力及組織能力。 (4)對內能團隊合作，有熱誠、認真負責。
海量資料庫工程師,綠光能數位有限公司,台北市松山區八德路四段666號7樓之3,25.0499222,121.5760657,1.公司內部及客戶資料庫建立管理及維運 2.對程式開發及調教有興趣 3.對數據分析有興趣 4.對程式開發及調教有興趣 5.Oracle/MySQL/MS-SQL 架設各種資料庫高可用度方案 6.有資料庫認證者為佳,不拘 不拘 ,未填寫
I176 Data Scientist 資料分析師,台灣大哥大股份有限公司,台北市大安區,25.0261583,121.5427093,(1)採用AI 資料分析技術，建置行銷業務應用主題模型 (2)支援營運/行銷之資料分析應用,不拘 不拘 ,(1)對資料分析有熱忱、融於團隊合作又能獨當一面 (2)應用電信/新創服務等相關資料與分析平台進行大數據分析 (3)應用先進資料處理技術建立統計模型之經驗 (4)Machine Learning  Deep Learning 等 AI 演算法
資料庫管理工程師,國泰人壽保險股份有限公司_總公司_國泰金控,台北市內湖區,25.0689422,121.5909027,1.資料庫及相關軟硬體建置、維護與監控。2.資料庫效能分析與優化調校。3.資訊系統專案架構之規劃、評估與建置。保證月薪40K以上。,Excel、Outlook、PowerPoint、Word、中文打字20~50 不拘 TOEIC、GEPT中級、FLPT(English) ,TOEIC、GEPT中級、FLPT(English)
資料管理分析人員,統一期貨股份有限公司,台北市松山區東興路8號B1樓之１,25.0503028,121.5649604,1.經營分析相關報表製作 2.經營分析相關Powerpoint製作 3.作業管理報表作業 4.商業智慧資料庫分析管理 5.其他主管交辦事項作業,Excel、Outlook、PowerPoint、Word 不拘 ,1.熟悉Excel及Powerpoint 統計相關軟體 2.熟悉微軟Window及Office工具操作 3.具使用管理資料庫經驗或懂SQL ACESS佳 4.使用過資料分析工具佳ETL/BI/ERP工具，或其他Script工具等.. 5.需很細心有耐性，反應快，主動積極，配合度高，自律能力強，具金融業/資訊背景佳。
資料倉儲工程師(維運部),普鴻資訊股份有限公司,台北市信義區忠孝東路四段560號4樓,25.0407381,121.5637989,* 駐點於金融客戶端工作 1. 依照USER需求撰寫SQL指令產生可執行SQL提供USER執行撈取資料 2. 依照TABLE變更或新增等異動使用工具程式調整現有執行之SQL 3. 監控資料倉儲系統運作 發現問題並排除  主要條件： 1. 具資料庫軟體應用程式語言操作能力(熟悉SQL指令與語法) 2. 具ETL操作工具操作能力(Teradata Informatica)尤佳. 3. 兩年以上資料倉儲或資料庫工作經驗,Informatica、MS SQL、Oracle 不拘 ,擅長技能： 1. 熟悉SQL指令語法 2. 懂資料倉儲工具程式尤佳 3. 需有至少有二年以上的資料庫工作經驗   此職缺負責銀行倉儲系統的維運， 若您對金融領域有興趣， 歡迎加入我們這個大家庭！
Oracle資料庫管理師(DBA)_薪優,縱網數碼科技有限公司,台北市內湖區基湖路  (內湖科技園區),25.0789239,121.564334,1. 擔任資料庫管理人員，負責資料庫安裝、性能調校、資源擴充與安全性管理工作  2. 保證資料庫完整性、安全性、穩定與高可用性  3. 負責資料庫備份與災難備援機制以達成業務連續性的不間斷服務  4. 有責任感能負擔與處理相應的變更及隨時檢查狀態並達到確保資料庫連續性  5. 因應緊急情況能配合隨時on call緊急處理  6. 能獨立作業並能建立技術相關基礎架構、操作與標準作業流程文件 7. 協助AP人員作業  8. 其他主管交辦事項,不拘 不拘 OCP DBA ,OCP DBA
資料庫管理人員(總公司),明台產物保險股份有限公司_資訊部,台北市大安區仁愛路四段1號,25.0382984,121.5440218,1. 管理各項Oracle/MSSQL資料庫資源使用，包含使用數量、權限管理、使用空間、系統資源（CPU、Memory、IO）等 2. 監控資料庫效能，並適時針對相關參數、查詢語句提出效能調校的建議 3. 負責資料庫系統維護、備份、備援、同步、監控等日常管理與異常排除 4. 需有 ORACLE OCP 證照,MS SQL、Oracle、PL/SQL 財務報表製作、資料庫程式設計、訂單╱管理報表製作 ,1. 有 BI 建置報表經驗尤佳
